pvs,r_frames_4k,r_frames_1080,mean_v0_4k,mean_v1_4k,range_v0_4k,range_v1_4k,res_label,codec,crf,src
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf23,0.9129562783980828,0.9085339767322743,95.13947395384614,94.01563387692306,6.30128599999999,7.211532000000005,1080p,hevc,23,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf28,0.9504692612930371,0.9495258996372223,90.69169262307692,87.54329216923078,6.799914000000001,7.679612999999989,1080p,hevc,28,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf33,0.9468672433478017,0.9473266407179511,82.6306073923077,76.4813774846154,8.15889,9.202256000000006,1080p,hevc,33,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf38,0.9633322233263554,0.969425814309193,69.97559442307693,59.33039386923077,10.566451999999998,13.474462000000003,1080p,hevc,38,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__hevc__crf43,0.9688893158044023,0.9732193433745663,52.94303493076924,34.3548546923077,11.716278000000003,16.240736999999996,1080p,hevc,43,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf20,0.9307881969396692,0.8819510397436218,98.60055429230769,98.25263712307694,4.255606999999998,4.050241999999997,1080p,vp9,20,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf30,0.9411825363439833,0.9236605009414764,96.57800452307694,95.38642933076923,8.418992000000003,9.604190000000003,1080p,vp9,30,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf40,0.9463249406814026,0.9552256854671807,91.78438864615384,88.05681795384615,13.157629,18.562148000000008,1080p,vp9,40,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf50,0.9637761638710832,0.9754125707795979,83.28062608461539,73.85478927692309,18.588434000000007,26.088668999999996,1080p,vp9,50,Aerial3200_1920x1080_5994_10bit_420
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf60,0.9773521867479025,0.9825309197153622,70.88534808461539,52.59256893076923,20.57773600000001,30.570757999999998,1080p,vp9,60,Aerial3200_1920x1080_5994_10bit_420
