pvs,src,codec,res_label,short_side,crf,pvs_set,bitrate_kbps,src_bitdepth,fps,v0_1080,v0_4k,v1_1d5h_2160,v1_1d5h_2160_8bit,v1_3d0h_1080
Aerial3200_1920x1080_5994_10bit_420__1920x1080__vp9__crf60,Aerial3200_1920x1080_5994_10bit_420,vp9,1080p,1080,60,ladder,658.648,10-bit src,59.94006309148265,55.459,70.885,52.593,52.593,55.501
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf20,Aerial3200_1920x1080_5994_10bit_420,av1,360p,360,20,ladder,1348.861,10-bit src,59.94006309148265,73.521,81.223,75.615,75.615,76.657
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf30,Aerial3200_1920x1080_5994_10bit_420,av1,360p,360,30,ladder,873.327,10-bit src,59.94006309148265,70.507,79.366,72.266,72.266,73.615
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf40,Aerial3200_1920x1080_5994_10bit_420,av1,360p,360,40,ladder,598.008,10-bit src,59.94006309148265,66.731,77.001,69.042,69.042,70.675
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf50,Aerial3200_1920x1080_5994_10bit_420,av1,360p,360,50,ladder,406.369,10-bit src,59.94006309148265,60.768,73.318,64.09,64.09,66.14
Aerial3200_1920x1080_5994_10bit_420__640x360__av1__crf60,Aerial3200_1920x1080_5994_10bit_420,av1,360p,360,60,ladder,195.894,10-bit src,59.94006309148265,44.63,63.133,48.419,48.419,51.63
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf18,Aerial3200_1920x1080_5994_10bit_420,h264,360p,360,18,ladder,1892.938,10-bit src,59.94006309148265,69.517,78.485,70.803,70.803,72.278
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf23,Aerial3200_1920x1080_5994_10bit_420,h264,360p,360,23,ladder,853.613,10-bit src,59.94006309148265,59.398,72.292,59.609,59.609,62.014
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf28,Aerial3200_1920x1080_5994_10bit_420,h264,360p,360,28,ladder,433.379,10-bit src,59.94006309148265,42.899,61.856,42.257,42.257,45.859
Aerial3200_1920x1080_5994_10bit_420__640x360__h264__crf33,Aerial3200_1920x1080_5994_10bit_420,h264,360p,360,33,ladder,248.944,10-bit src,59.94006309148265,23.978,48.572,20.468,20.468,25.158
